ID,Category,Region,WingStatus,Inventory ID,Country,Airline,Wing Identification,Circa,Material,Size,Hallmark,Clutch/Screw/Pin,Year Acquired,Source,Acquired by,Cost,Sale/Trade,Market Value,Condition,Date MV,Thumbnail,Photo,Reverse Photo,Memo,Additional Notes,Status
1191,M,2,Yes,COL-M-N-020,Colombia,Navy,Aviator,2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmn20.jpg,colmn20.jpg,nopicture.gif,New,,A
1192,M,2,Yes,COL-M-NP-010,Colombia,National Police,Pilot,2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmnp10.jpg,colmnp10.jpg,nopicture.gif,New,,A
1193,M,2,Yes,COL-M-NP-020,Colombia,National Police,"Pilot, 1 Star",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmnp20.jpg,colmnp20.jpg,nopicture.gif,New,,A
1194,M,2,Yes,COL-M-NP-030,Colombia,National Police,"Pilot, 2 Stars",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmnp30.jpg,colmnp30.jpg,nopicture.gif,New,,A
1195,M,2,Yes,COL-M-NP-040,Colombia,National Police,"Pilot, 3 Stars",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmnp40.jpg,colmnp40.jpg,nopicture.gif,New,,A
1196,M,2,Yes,COL-M-NP-050,Colombia,National Police,"Pilot, 3 Stars with Wreath",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmnp50.jpg,colmnp50.jpg,nopicture.gif,New,,A
1197,M,3,Yes,CSK-M-AF-050,Czechoslovakia,Air Force,"Pilot, 1st Class",1970,Metal,,"""0325""",,1996,trade,,,,,Good,,small_cskmaf50.jpg,cskmaf50.jpg,nopicture.gif,,,A
1198,M,3,Yes,CSK-M-AF-060,Czechoslovakia,Air Force,"Pilot, 2nd Class",1970,Metal,,"""ZUKOV PRAHA 7""",,1996,,,,,,Good,,small_cskmaf60.jpg,cskmaf60.jpg,nopicture.gif,,,A
1199,M,3,Yes,CSK-M-AF-065,Czechoslovakia,Air Force,"Pilot, 2nd Class",1970,Metal,,"""1191""",,1996,,,,,,Good,,small_cskmaf65.jpg,cskmaf65.jpg,nopicture.gif,,,A
1200,M,3,Yes,CSK-M-AF-FE-020,Czechoslovakia,Air Force,Flight Engineer,1970,Metal,,,Screw,1996,,,,,,Good,,small_cskmaffe20.jpg,cskmaffe20.jpg,nopicture.gif,,,A
1201,M,2,Yes,CUB-M-AF-040,Cuba,Air Force,Pilot,,Metal,,,Clutch,1988,trade,,,,,Good,,small_cubmaf40.jpg,cubmaf40.jpg,nopicture.gif,,,A
1202,M,2,Yes,CUB-M-AF-050,Cuba,Air Force,"Basic Pilot, FAR",,Metal,,,,1988,trade,,,,,Good,,small_cubmaf50.jpg,cubmaf50.jpg,nopicture.gif,,,A
1203,M,2,Yes,CUB-M-AF-060,Cuba,Air Force,"Senior Pilot, FAR",,Metal,,,,1988,trade,,,,,Good,,small_cubmaf60.jpg,cubmaf60.jpg,nopicture.gif,,,A
1204,M,2,Yes,CUB-M-AF-070,Cuba,Air Force,"Command Pilot, FAR",,Metal,,,,1988,trade,,,,,Good,,small_cubmaf70.jpg,cubmaf70.jpg,nopicture.gif,,,A
1205,M,3,Yes,CZE-M-AF-020,Czech Republic,Air Force,Pilot,1995,Metal,,,Screw,1996,,,,,,Excellent,,small_czemaf20.jpg,czemaf20.jpg,nopicture.gif,Heavy Construction,,A
1206,M,3,Yes,CZE-M-AF-030,Czech Republic,Air Force,Master Pilot,1995,Metal,,,Screw,1996,,,,,,Excellent,,small_czemaf30.jpg,czemaf30.jpg,nopicture.gif,Heavy Construction,,A
